
> health-tracker-frontend@1.0.0 dev
> vite


  VITE v5.4.21  ready in 125 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: use --host to expose
9:30:33 PM [vite] hmr update /src/components/WorkoutForm.jsx
9:30:42 PM [vite] hmr update /src/components/WorkoutForm.jsx, /src/components/WorkoutList.jsx
9:31:23 PM [vite] hmr update /src/components/WorkoutForm.jsx, /src/components/WorkoutList.jsx
9:31:23 PM [vite] hmr update /src/components/WorkoutForm.jsx
9:38:51 PM [vite] hmr update /src/App.jsx
9:39:33 PM [vite] hmr update /src/components/WorkoutList.jsx
9:40:16 PM [vite] hmr update /src/components/WorkoutList.css
9:40:25 PM [vite] hmr update /src/App.css
9:40:27 PM [vite] hmr update /src/components/WorkoutList.jsx
9:40:27 PM [vite] hmr update /src/App.jsx
9:40:27 PM [vite] hmr update /src/App.css
9:40:27 PM [vite] hmr update /src/components/WorkoutCard.jsx
9:40:27 PM [vite] hmr update /src/components/WorkoutCard.css
9:41:20 PM [vite] hmr update /src/components/WorkoutCard.jsx
9:41:31 PM [vite] hmr update /src/components/WorkoutList.jsx
9:41:45 PM [vite] hmr update /src/components/WorkoutList.jsx
9:41:52 PM [vite] hmr update /src/components/WorkoutList.jsx
9:42:03 PM [vite] hmr update /src/components/WorkoutCard.css
9:42:25 PM [vite] hmr update /src/components/WorkoutList.jsx
9:42:25 PM [vite] hmr update /src/components/WorkoutCard.jsx
9:42:25 PM [vite] hmr update /src/components/WorkoutCard.css
9:48:23 PM [vite] hmr update /src/components/WorkoutList.jsx
9:48:34 PM [vite] hmr update /src/components/WorkoutList.jsx
9:48:46 PM [vite] hmr update /src/components/WorkoutList.jsx
9:49:07 PM [vite] hmr update /src/components/WorkoutList.jsx
9:49:07 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
9:49:07 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:50:32 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
9:50:42 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
9:50:53 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:51:01 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:51:12 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:51:37 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
9:51:37 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:52:07 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
9:52:15 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:52:22 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:52:28 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:52:45 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
9:52:45 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:53:51 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
9:54:03 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:54:12 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:54:24 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:54:33 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:54:35 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
9:54:36 PM [vite] hmr update /src/components/WorkoutCalendar.css
9:57:13 PM [vite] hmr update /src/components/WorkoutCard.jsx
9:57:31 PM [vite] hmr update /src/components/WorkoutCard.css
9:57:41 PM [vite] hmr update /src/components/WorkoutList.css
9:57:51 PM [vite] hmr update /src/components/WorkoutList.css
9:58:11 PM [vite] hmr update /src/components/WorkoutList.css
9:58:12 PM [vite] hmr update /src/components/WorkoutCard.jsx
9:58:12 PM [vite] hmr update /src/components/WorkoutCard.css
9:59:17 PM [vite] hmr update /src/components/WorkoutCard.jsx
9:59:24 PM [vite] hmr update /src/components/WorkoutCard.css
9:59:31 PM [vite] hmr update /src/components/WorkoutCard.css
10:00:40 PM [vite] hmr update /src/components/WorkoutCard.jsx
10:00:40 PM [vite] hmr update /src/components/WorkoutCard.css
10:03:45 PM [vite] hmr update /src/components/WorkoutCard.jsx
10:03:53 PM [vite] hmr update /src/components/WorkoutCard.css
10:03:59 PM [vite] hmr update /src/components/WorkoutCard.css
10:04:06 PM [vite] hmr update /src/components/WorkoutCard.css
10:04:47 PM [vite] hmr update /src/components/WorkoutCard.css
10:04:56 PM [vite] hmr update /src/components/WorkoutCard.css
10:05:03 PM [vite] hmr update /src/components/WorkoutCard.css
10:06:55 PM [vite] hmr update /src/components/WorkoutCard.jsx
10:07:07 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
10:07:43 PM [vite] hmr update /src/components/WorkoutCard.jsx
10:07:50 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
10:07:58 PM [vite] hmr update /src/components/WorkoutCard.jsx
10:07:58 PM [vite] hmr update /src/components/WorkoutCard.css
10:07:58 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
10:08:42 PM [vite] hmr update /src/components/WorkoutCard.jsx
10:08:50 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
10:10:19 PM [vite] hmr update /src/components/WorkoutCard.jsx
10:10:19 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
10:10:19 PM [vite] hmr update /src/components/WorkoutCard.jsx, /src/components/WorkoutCalendar.jsx
10:10:28 PM [vite] hmr update /src/App.jsx
10:10:40 PM [vite] hmr update /src/App.css
10:10:45 PM [vite] hmr update /src/App.css
10:10:56 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
10:11:09 PM [vite] hmr update /src/App.jsx
10:11:09 PM [vite] hmr update /src/App.css
10:11:09 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
10:11:23 PM [vite] hmr update /src/App.jsx
10:11:38 PM [vite] hmr update /src/components/WorkoutList.jsx
10:11:49 PM [vite] hmr update /src/components/WorkoutList.jsx
10:11:49 PM [vite] hmr update /src/App.jsx
10:12:32 PM [vite] hmr update /src/components/WorkoutList.css
10:12:39 PM [vite] hmr update /src/components/WorkoutList.jsx
10:12:46 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
10:13:55 PM [vite] hmr update /src/components/WorkoutList.jsx
10:13:55 PM [vite] hmr update /src/components/WorkoutList.css
10:13:55 PM [vite] hmr update /src/components/WorkoutCalendar.jsx
10:14:02 PM [vite] hmr update /src/components/WorkoutList.css
10:14:24 PM [vite] hmr update /src/components/WorkoutList.css
10:14:34 PM [vite] hmr update /src/components/WorkoutList.css
10:15:01 PM [vite] hmr update /src/components/WorkoutCalendar.css
10:15:04 PM [vite] hmr update /src/components/WorkoutList.css
10:15:04 PM [vite] hmr update /src/components/WorkoutCalendar.css
10:15:08 PM [vite] hmr update /src/components/WorkoutCalendar.css
10:15:24 PM [vite] hmr update /src/components/WorkoutList.css
10:15:39 PM [vite] hmr update /src/components/WorkoutList.css
10:15:39 PM [vite] hmr update /src/components/WorkoutCalendar.css
10:15:48 PM [vite] hmr update /src/components/WorkoutList.css
10:16:27 PM [vite] hmr update /src/components/WorkoutCalendar.css
10:16:34 PM [vite] hmr update /src/components/WorkoutList.css
10:16:34 PM [vite] hmr update /src/components/WorkoutCalendar.css
10:16:48 PM [vite] hmr update /src/components/WorkoutCard.css
10:16:50 PM [vite] hmr update /src/components/WorkoutCard.css
